Name,no_deg_bound,deg_bound4,deg_bound10,deg_bound15,max_deg
r1n2_1,-1.0,-1.0,-1.0,-1.0,-1
r1n3_1,0.012364895,0.001838353,0.002047414,0.0025728,2
r1n3_3,0.00508815,0.000606819,-1.0,-1.0,2
r1n4_3,-1.0,-1.0,-1.0,-1.0,-1
r1n4_1,-1.0,-1.0,-1.0,-1.0,-1
r1n4_7,-1.0,-1.0,-1.0,-1.0,-1
r2n4_01,-1.0,-1.0,-1.0,-1.0,-1
r1n5_03,-1.0,-1.0,-1.0,-1.0,-1
r1n5_07,-1.0,-1.0,-1.0,-1.0,-1
r2n4_03,-1.0,-1.0,-1.0,-1.0,-1
r2n4_1e,-1.0,-1.0,-1.0,-1.0,-1
r2n4_1f,-1.0,-1.0,-1.0,-1.0,-1
r2n4_0b,-1.0,-1.0,-1.0,-1.0,-1
r1n3_7,-1.0,-1.0,-1.0,-1.0,-1
r0n1_1,-1.0,-1.0,-1.0,-1.0,-1
r2n5_001,-1.0,-1.0,-1.0,-1.0,-1
r1n6_07,-1.0,-1.0,-1.0,-1.0,-1
r1n2_3,-1.0,-1.0,-1.0,-1.0,-1
r2n5_003,-1.0,-1.0,-1.0,-1.0,-1
r2n4_07,-1.0,-1.0,-1.0,-1.0,-1
r2n5_013,-1.0,-1.0,-1.0,-1.0,-1
r2n5_007,-1.0,-1.0,-1.0,-1.0,-1
r1n4_f,-1.0,-1.0,-1.0,-1.0,-1
r1n5_01,-1.0,-1.0,-1.0,-1.0,-1
r1n5_0f,-1.0,-1.0,-1.0,-1.0,-1
r2n5_07e,-1.0,-1.0,-1.0,-1.0,-1
r1n6_03,-1.0,-1.0,-1.0,-1.0,-1
r2n5_1ef,-1.0,-1.0,-1.0,-1.0,-1
r2n5_036,-1.0,-1.0,-1.0,-1.0,-1
r2n4_3f,-1.0,-1.0,-1.0,-1.0,-1
r2n5_1ff,-1.0,-1.0,-1.0,-1.0,-1
r2n5_037,-1.0,-1.0,-1.0,-1.0,-1
r2n5_07f,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0003,-1.0,-1.0,-1.0,-1.0,-1
r1n6_0f,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0001,-1.0,-1.0,-1.0,-1.0,-1
r2n5_00f,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0023,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0007,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0066,-1.0,-1.0,-1.0,-1.0,-1
r2n6_3dff,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0067,-1.0,-1.0,-1.0,-1.0,-1
r2n6_00ee,-1.0,-1.0,-1.0,-1.0,-1
r2n7_000003,-1.0,-1.0,-1.0,-1.0,-1
r2n7_000007,-1.0,-1.0,-1.0,-1.0,-1
r2n5_0b7,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0fdf,-1.0,-1.0,-1.0,-1.0,-1
r2n6_000f,-1.0,-1.0,-1.0,-1.0,-1
r2n6_06cf,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0fff,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0fdc,-1.0,-1.0,-1.0,-1.0,-1
r2n6_00ef,-1.0,-1.0,-1.0,-1.0,-1
r2n6_3dfe,-1.0,-1.0,-1.0,-1.0,-1
r2n7_000043,-1.0,-1.0,-1.0,-1.0,-1
r2n6_06ef,-1.0,-1.0,-1.0,-1.0,-1
r2n6_01fe,-1.0,-1.0,-1.0,-1.0,-1
r2n6_01ff,-1.0,-1.0,-1.0,-1.0,-1
r2n6_0267,-1.0,-1.0,-1.0,-1.0,-1
r2n6_3fff,-1.0,-1.0,-1.0,-1.0,-1
