Name,length,rank,Aut_B,Aut_C,Aut_B_stored,Aut_B_extra,Aut_C_extra,Aut_B_timed,Aut_C_stored
r2n7_000003,7,2,false,,true,false,,0.670536919,
r3n7_000007fff,7,3,false,,true,false,,37691.29023159,
r3n7_000018067,7,3,false,,true,false,,2062.735517574,
r3n7_0005b96ef,7,3,false,,true,false,,27113.73599488,
r3n7_000018066,7,3,false,,true,false,,1562.548279453,
r3n7_0165b96ee,7,3,true,,true,true,,32422.575651026,
r2n7_1fffff,7,2,false,,true,false,,,
r3n7_000098267,7,3,false,,true,false,,,
r3n7_0001b86ef,7,3,false,,true,false,,,
r3n7_000098263,7,3,false,,true,false,,,
r3n7_000000023,7,3,false,,true,false,,,
r3n7_0001b86e3,7,3,false,,true,false,,,
r3n7_0003f0fc0,7,3,false,,true,false,,,
r3n4_f,4,3,true,,true,true,,,
r3n7_0165996af,7,3,true,,true,true,,,
r2n7_0f7fbf,7,2,false,,true,false,,,
r2n7_0000c6,7,2,false,,true,false,,,
r3n7_0000001ff,7,3,false,,true,false,,,
r3n7_0000001fe,7,3,false,,true,false,,,
r2n7_007fbf,7,2,false,,true,false,,,
r3n7_0000380ef,7,3,true,,true,true,,,
r3n7_0165996ad,7,3,true,,true,true,,,
r3n7_000000fdc,7,3,false,,true,false,,,
r2n7_00000f,7,2,false,,true,false,,,
r2n7_03ffff,7,2,false,,true,false,,,
r2n7_003b9c,7,2,false,,true,false,,,
r3n7_000f7bde7,7,3,false,,true,false,,,
r2n7_00198f,7,2,false,,true,false,,,
r3n7_000000066,7,3,false,,true,false,,,
r3n7_00e3f0fdc,7,3,false,,true,false,,,
r3n7_000000001,7,3,false,,true,false,,,
r2n7_01bbdf,7,2,false,,true,false,,,
r3n7_0000781ff,7,3,false,,true,false,,,
r3n7_0001b06c0,7,3,false,,true,false,,,
r2n7_0001ce,7,2,false,,true,false,,,
r1n7_3f,7,1,false,,true,false,,,
r3n7_000000fdf,7,3,false,,true,false,,,
r2n7_03f7ff,7,2,false,,true,false,,,
r3n7_0001b06c3,7,3,false,,true,false,,,
r3n7_0061b86ef,7,3,true,,true,true,,,
r3n7_0001b06cf,7,3,false,,true,false,,,
r1n7_0f,7,1,false,,true,false,,,
r3n7_0000016ef,7,3,false,,true,false,,,
r1n7_1f,7,1,false,,true,false,,,
r3n7_0000380ee,7,3,true,,true,true,,,
r3n7_0003f0fdc,7,3,false,,true,false,,,
r2n7_00001f,7,2,false,,true,false,,,
r2n7_01b3df,7,2,false,,true,false,,,
r2n7_0000c7,7,2,false,,true,false,,,
r3n7_0003f8ffd,7,3,true,,true,true,,,
r2n7_0003de,7,2,false,,true,false,,,
r3n7_00000000f,7,3,false,,true,false,,,
r2n7_0fffff,7,2,false,,true,false,,,
r3n7_000000007,7,3,false,,true,false,,,
r1n7_07,7,1,false,,true,false,,,
r3n7_0003f0fdf,7,3,false,,true,false,,,
r3n7_0165b96ef,7,3,true,,true,true,,,
r3n7_0000000ef,7,3,false,,true,false,,,
r1n7_01,7,1,false,,true,false,,,
r3n7_0000006ef,7,3,false,,true,false,,,
r3n7_002098267,7,3,false,,true,false,,,
r2n7_007fff,7,2,false,,true,false,,,
r2n7_03f73f,7,2,false,,true,false,,,
r3n7_0003f8fe3,7,3,false,,true,false,,,
r3n7_0000000ee,7,3,false,,true,false,,,
r3n7_000000267,7,3,false,,true,false,,,
r3n7_000ffbfe0,7,3,false,,true,false,,,
r3n7_0061b06ef,7,3,true,,true,true,,,
r3n7_0000006cf,7,3,false,,true,false,,,
r3n7_00000001f,7,3,false,,true,false,,,
r3n7_0000781fe,7,3,false,,true,false,,,
r3n7_0003f8fff,7,3,false,,true,false,,,
r3n7_000003dff,7,3,false,,true,false,,,
r2n7_03f7fe,7,2,false,,true,false,,,
r3n7_000003fff,7,3,false,,true,false,,,
r2n7_01b3de,7,2,false,,true,false,,,
r3n7_07fffffff,7,3,false,,true,,,,
